sample	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19
c_ll_la_0045	52.0122699386503	77.601226993865	23.5705521472393	8720.82208588957	219.742331288344	-103.104294478528	322.846625766871	159.711656441718	-54.3374233128834	161.233128834356	-62	642.374233128834	82.558282208589	29.0184049079755	30.8527607361963	229.331288343558	98.5337423312883	229.036809815951	113.815950920245
c_ll_la_0047	50.4424242424242	78.3515151515151	23.5454545454545	8823.81818181818	220.066666666667	-106.781818181818	326.848484848485	160.733333333333	-56.3454545454545	160.89696969697	-64.9393939393939	639.933333333333	83.6484848484849	29.1575757575758	31.3090909090909	230.624242424242	98.7030303030303	230.612121212121	112.981818181818
c_ll_la_0048	62.188679245283	63.9339622641509	22.5943396226415	7670.05660377359	206.235849056604	-70.4528301886792	276.688679245283	117.22641509434	-19.3490566037736	160.188679245283	-34.8679245283019	654.820754716981	78.9245283018868	26.6981132075472	31.2735849056604	225.415094339623	98.877358490566	200.905660377358	120.933962264151
c_ll_la_0052	62.36	63.9	22.71	7624.41	205.64	-69.45	275.09	112.91	-16.37	159.78	-34.05	659.64	79.63	26.78	31.38	226.72	99.74	201.06	122.74
c_ll_la_0053	62.5833333333333	64.8712121212121	22.8863636363636	7691.23484848485	207.007575757576	-70.3787878787879	277.386363636364	124.439393939394	-18.8333333333333	160.44696969697	-35.2424242424242	666.840909090909	80.5833333333333	27.0681818181818	30.9924242424242	228.712121212121	100.772727272727	208.136363636364	122.666666666667
c_ll_la_0054	52.2402597402597	69.1168831168831	22.1038961038961	8383.16883116883	211.805194805195	-93.6233766233766	305.428571428571	134	-32.3766233766234	158.863636363636	-55.2467532467532	651.116883116883	77.974025974026	28.7272727272727	29.7532467532468	223.331168831169	100.123376623377	208.675324675325	121.954545454545
c_ll_no_0065	-24.156	74.008	23.072	8264.228	142.916	-172.54	315.456	48.652	-53.776	87.588	-124.86	596.224	75.172	32.72	24.42	190.828	104.644	179.26	148.524
c_ll_no_0075	30.1139896373057	66.0155440414508	26.6943005181347	6254.0310880829	160.777202072539	-83.1554404145078	243.932642487047	48.9119170984456	41.5284974093264	113.046632124352	-46.8549222797927	1282.0829015544	144.761658031088	64.580310880829	22.3367875647668	396.60103626943	230.077720207254	301.523316062176	345.212435233161
c_ll_no_0076	35.4360465116279	67.3837209302326	28.0348837209302	6042.90697674419	162.517441860465	-75.0813953488372	237.598837209302	63.8255813953488	32.9476744186046	114.78488372093	-39.6279069767442	1065.30813953488	123.145348837209	55.1627906976744	23.4302325581395	339.029069767442	190.78488372093	265.203488372093	272.81976744186
c_ll_no_0077	27.5125628140704	68.929648241206	27.4673366834171	6345.86432160804	160.035175879397	-88.4924623115578	248.527638190955	70.2412060301507	13.4723618090452	110.738693467337	-51.7889447236181	981.150753768844	114.628140703518	51.427135678392	24.3065326633166	316.165829145729	174.29648241206	261.236180904523	241.27135678392
c_ll_no_0078	14.7894736842105	77.4315789473684	24.9368421052632	7979.87368421053	177.815789473684	-127.121052631579	304.936842105263	116.026315789474	-62.4263157894737	118.636842105263	-87.6421052631579	644.378947368421	90.1894736842105	27.6736842105263	38.3684210526316	248.157894736842	91.5526315789474	247.636842105263	106.531578947368
c_ll_no_0079	26.4157303370787	62.6797752808989	24.8651685393258	6456.22471910112	160.016853932584	-86.6910112359551	246.707865168539	61.8202247191011	-7.84831460674157	111.157303370787	-52.6179775280899	1105.0393258427	128.247191011236	53.8707865168539	26.5449438202247	367.488764044944	184.224719101124	292.494382022472	244.342696629213
