sample	bio2	bio5	bio6	bio8	bio13	jan_depth	snow_days
c_ll_to_0191	137.941176470588	226.485294117647	-303.183823529412	151.080882352941	90.4411764705882	4.94766465063617	207.904761904762
c_ll_ur_0194	98.760736196319	239.41717791411	-200.251533742331	163.601226993865	97.2147239263804	35.1086498210892	183.714285714286
c_ll_ur_0195	101.820512820513	244.121794871795	-206.134615384615	167.217948717949	97.8846153846154	28.1051379838569	187.095238095238
c_ll_ur_0196	101.820512820513	244.121794871795	-206.134615384615	167.217948717949	97.8846153846154	28.1051379838569	187.095238095238
c_ll_ur_0199	102.872611464968	242.821656050955	-208.585987261146	165.216560509554	98.3821656050955	30.3409317231493	187.380952380952
c_ll_ur_0200	106.230263157895	240.743421052632	-216.480263157895	161.151315789474	95.4868421052632	37.7047942435863	190.952380952381
c_ll_ur_0202	103.791139240506	254.367088607595	-206.696202531646	177.044303797468	85.2658227848101	19.5088934777645	178.047619047619
c_ll_ur_0203	107.572368421053	247.243421052632	-209.736842105263	167.802631578947	76.8684210526316	49.3315641705784	190.952380952381
c_ll_ca_0240	111.991452991453	235	-91.3247863247863	87.5299145299145	117.247863247863	18.3961878796837	186.952380952381
c_ll_ca_0241	98.3471074380165	241.900826446281	-78.3057851239669	132.256198347107	108.231404958678	16.3675566995061	238.571428571429
c_ll_ca_0242	116.084033613445	258.781512605042	-98.9495798319328	101.27731092437	76.9579831932773	9.74602150530682	172.428571428571
c_ll_ca_0243	91.832	263.36	-64.976	125.872	77.448	14.4916087757156	231.238095238095
c_ll_ca_0244	90.2926829268293	262.463414634146	-66.6016260162602	123.674796747967	76.1138211382114	14.0964491633779	231.238095238095
c_ll_ca_0245	92.7177419354839	229.104838709677	-90.8870967741936	133.564516129032	103.024193548387	18.10370889753	238.52380952381
c_ll_ca_0247	111.791666666667	240.5	-87.3833333333333	125.933333333333	108	10.0932678823209	219.238095238095
c_ll_ca_0248	107.260162601626	207.317073170732	-93.5691056910569	100.829268292683	132.682926829268	41.8473818546594	319.714285714286
c_ll_ca_0252	107.664	212.52	-100.968	116.024	122.272	36.7335144543308	319.714285714286
c_ll_ca_0254	107.730769230769	243.355769230769	-68.2211538461538	95.3653846153846	129.75	17.4784397629313	186.380952380952
c_ll_ca_0259	93.8130081300813	234.292682926829	-91.8943089430894	142.991869918699	102.569105691057	16.6689329677686	237
c_ll_ca_0260	96.8536585365854	230.048780487805	-88.8455284552846	127.650406504065	111.49593495935	18.7940802889778	238.666666666667
